address,held_from,sold_at,holding_period,Gain/Loss,Planning Area,property_tenure,transaction_price_dollars,project_name,area_sqft,sale_type,Year,Gain/Loss (SGD),held_year,held_month,sold_year,sold_month,months_held,Original Price (SGD)
1 CANBERRA DRIVE #02-03,2014-03-11,2021-05-06,7.0,179788,Yishun,99 yrs from 30/01/2012,858888,1 CANBERRA,947,Resale,2021,"179,788",2014,3,2021,5,86,"679,100"
1 CANBERRA DRIVE #03-03,2013-12-16,2020-12-29,7.0,157100,Yishun,99 yrs from 30/01/2012,840000,1 CANBERRA,947,Resale,2020,"157,100",2013,12,2020,12,84,"682,900"
1 CANBERRA DRIVE #04-02,2013-06-20,2021-03-10,7.5,184788,Yishun,99 yrs from 30/01/2012,875000,1 CANBERRA,969,Resale,2021,"184,788",2013,6,2021,3,93,"690,212"
1 CANBERRA DRIVE #05-01,2012-07-19,2023-05-08,11.0,470580,Yishun,99 yrs from 30/01/2012,1180000,1 CANBERRA,958,Resale,2023,"470,580",2012,7,2023,5,130,"709,420"
1 CANBERRA DRIVE #05-04,2013-10-21,2022-09-30,9.0,341300,Yishun,99 yrs from 30/01/2012,1020000,1 CANBERRA,947,Resale,2022,"341,300",2013,10,2022,9,107,"678,700"
1 CANBERRA DRIVE #07-01,2012-07-13,2022-02-07,9.5,294750,Yishun,99 yrs from 30/01/2012,988000,1 CANBERRA,958,Resale,2022,"294,750",2012,7,2022,2,115,"693,250"
1 CANBERRA DRIVE #07-02,2012-06-14,2024-04-18,12.0,473388,Yishun,99 yrs from 30/01/2012,1180000,1 CANBERRA,969,Resale,2024,"473,388",2012,6,2024,4,142,"706,612"
1 CANBERRA DRIVE #08-02,2013-06-18,2021-02-08,7.5,211600,Yishun,99 yrs from 30/01/2012,930000,1 CANBERRA,969,Resale,2021,"211,600",2013,6,2021,2,92,"718,400"
1 CANBERRA DRIVE #08-04,2013-10-04,2022-10-25,9.0,390600,Yishun,99 yrs from 30/01/2012,1078000,1 CANBERRA,947,Resale,2022,"390,600",2013,10,2022,10,108,"687,400"
1 CANBERRA DRIVE #09-03,2013-09-26,2021-02-17,7.5,195688,Yishun,99 yrs from 30/01/2012,885000,1 CANBERRA,947,Resale,2021,"195,688",2013,9,2021,2,89,"689,312"
1 CANBERRA DRIVE #10-04,2013-07-24,2024-02-14,10.5,494000,Yishun,99 yrs from 30/01/2012,1180000,1 CANBERRA,947,Resale,2024,"494,000",2013,7,2024,2,127,"686,000"
1 CANBERRA DRIVE #11-02,2013-05-22,2020-09-24,7.5,146788,Yishun,99 yrs from 30/01/2012,865000,1 CANBERRA,969,Resale,2020,"146,788",2013,5,2020,9,88,"718,212"
1 CANBERRA DRIVE #12-01,2012-07-10,2020-09-30,8.0,182550,Yishun,99 yrs from 30/01/2012,891000,1 CANBERRA,958,Resale,2020,"182,550",2012,7,2020,9,98,"708,450"
1 FERNVALE CLOSE #02-02,2013-09-24,2024-03-15,10.5,736800,Sengkang,99 yrs from 13/02/2013,1640000,LUSH ACRES,1206,Resale,2024,"736,800",2013,9,2024,3,126,"903,200"
1 FERNVALE CLOSE #02-04,2013-09-27,2024-03-18,10.5,537200,Sengkang,99 yrs from 13/02/2013,1330000,LUSH ACRES,1055,Resale,2024,"537,200",2013,9,2024,3,126,"792,800"
1 FERNVALE CLOSE #03-04,2013-12-18,2024-09-09,10.5,472100,Sengkang,99 yrs from 13/02/2013,1288000,LUSH ACRES,1055,Resale,2024,"472,100",2013,12,2024,9,129,"815,900"
